sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,wer,cer,asr_time_ms,error
crosswoz_7701_turn2,crosswoz,zh,7701,2,90,18.11,long,streaming,0.0000,0.0000,1572.29,
crosswoz_9956_turn3,crosswoz,zh,9956,3,83,18.11,long,non-streaming,0.0000,0.0000,1870.16,
crosswoz_9956_turn3,crosswoz,zh,9956,3,83,18.11,long,streaming,0.0145,0.0290,1084.69,
crosswoz_8424_turn2,crosswoz,zh,8424,2,89,18.34,long,non-streaming,0.0000,0.0000,1451.56,
crosswoz_8424_turn2,crosswoz,zh,8424,2,89,18.34,long,streaming,0.0000,0.0260,1185.06,
multiwoz_MUL1459_turn2,multiwoz,en,MUL1459,2,285,18.38,long,non-streaming,0.0000,0.0000,1342.06,
multiwoz_MUL1459_turn2,multiwoz,en,MUL1459,2,285,18.38,long,streaming,0.0667,0.0071,927.97,
multiwoz_PMUL2175_turn2,multiwoz,en,PMUL2175,2,289,18.65,long,non-streaming,0.0000,0.0000,1182.54,
multiwoz_PMUL2175_turn2,multiwoz,en,PMUL2175,2,289,18.65,long,streaming,0.1154,0.0255,1036.88,
crosswoz_11406_turn2,crosswoz,zh,11406,2,92,18.89,long,non-streaming,0.0000,0.0000,1473.94,
crosswoz_11406_turn2,crosswoz,zh,11406,2,92,18.89,long,streaming,0.0000,0.0250,851.57,
multiwoz_MUL2157_turn2,multiwoz,en,MUL2157,2,269,18.92,long,non-streaming,0.0000,0.0000,1325.35,
multiwoz_MUL2157_turn2,multiwoz,en,MUL2157,2,269,18.92,long,streaming,0.0678,0.0069,1448.97,
multiwoz_MUL1330_turn2,multiwoz,en,MUL1330,2,302,18.99,long,non-streaming,0.0000,0.0000,1266.92,
multiwoz_MUL1330_turn2,multiwoz,en,MUL1330,2,302,18.99,long,streaming,0.0351,0.0034,1335.91,
crosswoz_497_turn2,crosswoz,zh,497,2,98,19.02,long,non-streaming,0.0000,0.0000,1685.44,
crosswoz_497_turn2,crosswoz,zh,497,2,98,19.02,long,streaming,0.0000,0.0000,1778.10,
crosswoz_10197_turn2,crosswoz,zh,10197,2,98,19.05,long,non-streaming,0.0000,0.0000,1643.03,
crosswoz_10197_turn2,crosswoz,zh,10197,2,98,19.05,long,streaming,0.0000,0.0000,1740.51,
crosswoz_962_turn2,crosswoz,zh,962,2,93,19.21,long,non-streaming,0.0000,0.0000,1525.49,
crosswoz_962_turn2,crosswoz,zh,962,2,93,19.21,long,streaming,0.0000,0.0241,1159.63,
multiwoz_MUL1003_turn3,multiwoz,en,MUL1003,3,297,19.24,long,non-streaming,0.0000,0.0000,1316.45,
multiwoz_MUL1003_turn3,multiwoz,en,MUL1003,3,297,19.24,long,streaming,0.0678,0.0104,953.24,
crosswoz_2228_turn2,crosswoz,zh,2228,2,93,19.46,long,non-streaming,0.0000,0.0000,1646.94,
crosswoz_2228_turn2,crosswoz,zh,2228,2,93,19.46,long,streaming,0.0122,0.0366,1015.00,
crosswoz_10574_turn2,crosswoz,zh,10574,2,93,19.47,long,non-streaming,0.0000,0.0000,1520.37,
crosswoz_10574_turn2,crosswoz,zh,10574,2,93,19.47,long,streaming,0.0000,0.0120,1287.20,
crosswoz_422_turn2,crosswoz,zh,422,2,98,19.48,long,non-streaming,0.0000,0.0000,1608.41,
crosswoz_422_turn2,crosswoz,zh,422,2,98,19.48,long,streaming,0.0000,0.0000,1722.83,
multiwoz_MUL0789_turn2,multiwoz,en,MUL0789,2,256,19.52,long,non-streaming,0.0000,0.0000,1299.22,
multiwoz_MUL0789_turn2,multiwoz,en,MUL0789,2,256,19.52,long,streaming,0.1731,0.0763,1000.34,
multiwoz_PMUL0322_turn3,multiwoz,en,PMUL0322,3,283,19.80,long,non-streaming,0.0000,0.0000,1621.17,
multiwoz_PMUL0322_turn3,multiwoz,en,PMUL0322,3,283,19.80,long,streaming,0.1509,0.0224,965.41,
multiwoz_MUL0711_turn2,multiwoz,en,MUL0711,2,262,19.82,long,non-streaming,0.0000,0.0000,1200.65,
