sample_id,scope,mode,duration_group,wer,cer,wer_s,wer_d,wer_i,wer_n,cer_s,cer_d,cer_i,cer_n,empty
aishell1_S0031_01,aishell1_clean,streaming,long,0.0167,0.0167,1,0,0,60,1,0,0,60,0
aishell1_S0031_01,aishell1_clean,non-streaming,long,0.0167,0.0167,1,0,0,60,1,0,0,60,0
aishell1_S0007_01,aishell1_clean,streaming,long,0.0943,0.0943,4,0,1,53,4,0,1,53,0
aishell1_S0007_01,aishell1_clean,non-streaming,long,0.0755,0.0755,4,0,0,53,4,0,0,53,0
aishell1_S0003_01,aishell1_clean,streaming,long,0.0156,0.0156,1,0,0,64,1,0,0,64,0
aishell1_S0003_01,aishell1_clean,non-streaming,long,0.0156,0.0156,1,0,0,64,1,0,0,64,0
aishell1_S0041_01,aishell1_clean,streaming,very_long,0.0737,0.0737,3,3,1,95,3,3,1,95,0
aishell1_S0041_01,aishell1_clean,non-streaming,very_long,0.1368,0.1368,3,3,7,95,3,3,7,95,0
aishell1_S0043_01,aishell1_clean,streaming,very_long,0.0440,0.0440,4,0,0,91,4,0,0,91,0
aishell1_S0043_01,aishell1_clean,non-streaming,very_long,0.0879,0.0879,0,0,8,91,0,0,8,91,0
aishell1_S0036_01,aishell1_clean,streaming,very_long,0.1023,0.1023,9,0,0,88,9,0,0,88,0
aishell1_S0036_01,aishell1_clean,non-streaming,very_long,0.1023,0.1023,9,0,0,88,9,0,0,88,0
aishell1_S0059_01,aishell1_clean,streaming,very_long,0.2804,0.2804,27,3,0,107,27,3,0,107,0
aishell1_S0059_01,aishell1_clean,non-streaming,very_long,0.2804,0.2804,27,3,0,107,27,3,0,107,0
aishell1_S0060_01,aishell1_clean,streaming,very_long,0.2283,0.2283,12,8,1,92,12,8,1,92,0
aishell1_S0060_01,aishell1_clean,non-streaming,very_long,0.2174,0.2174,12,8,0,92,12,8,0,92,0
aishell1_S0035_01,aishell1_clean,streaming,very_long,0.0330,0.0330,2,0,1,91,2,0,1,91,0
aishell1_S0035_01,aishell1_clean,non-streaming,very_long,0.0110,0.0110,1,0,0,91,1,0,0,91,0
aishell1_S0051_01,aishell1_clean,streaming,very_long,0.2874,0.2874,17,8,0,87,17,8,0,87,0
aishell1_S0051_01,aishell1_clean,non-streaming,very_long,0.2874,0.2874,17,8,0,87,17,8,0,87,0
aishell1_S0045_01,aishell1_clean,streaming,very_long,0.1646,0.1646,10,3,0,79,10,3,0,79,0
aishell1_S0045_01,aishell1_clean,non-streaming,very_long,0.1519,0.1519,9,3,0,79,9,3,0,79,0
aishell1_S0033_01,aishell1_clean,streaming,very_long,0.2000,0.2000,13,5,0,90,13,5,0,90,0
aishell1_S0033_01,aishell1_clean,non-streaming,very_long,0.1889,0.1889,12,5,0,90,12,5,0,90,0
aishell1_S0047_01,aishell1_clean,streaming,very_long,0.0247,0.0247,2,0,0,81,2,0,0,81,0
aishell1_S0047_01,aishell1_clean,non-streaming,very_long,0.0247,0.0247,2,0,0,81,2,0,0,81,0
aishell1_S0039_01,aishell1_clean,streaming,very_long,0.0556,0.0556,4,0,1,90,4,0,1,90,0
aishell1_S0039_01,aishell1_clean,non-streaming,very_long,0.0444,0.0444,4,0,0,90,4,0,0,90,0
aishell1_S0049_01,aishell1_clean,streaming,very_long,0.1635,0.1635,11,5,1,104,11,5,1,104,0
