sample_id,dataset,language,dialog_id,turn_index,text_length,duration_group,audio_duration_s,baseline_ttft_ms,streaming_asr_ttft_ms,full_streaming_ttft_ms,asr_gain_ms,kv_gain_ms,total_gain_ms,total_gain_ratio_%
multiwoz_PMUL0085_turn6,multiwoz,en,PMUL0085,6,872,extra_long,65.31,4321.96,1900.51,1825.01,2421.45,75.51,2496.95,57.8
crosswoz_9956_turn8,crosswoz,zh,9956,8,312,extra_long,65.46,5172.53,811.21,794.62,4361.32,16.59,4377.91,84.6
multiwoz_MUL0183_turn6,multiwoz,en,MUL0183,6,897,extra_long,65.64,3903.89,655.43,626.20,3248.46,29.23,3277.69,84.0
multiwoz_MUL1003_turn6,multiwoz,en,MUL1003,6,869,extra_long,65.78,4105.82,1054.14,991.42,3051.68,62.71,3114.39,75.9
multiwoz_PMUL1745_turn7,multiwoz,en,PMUL1745,7,905,extra_long,65.82,4812.78,1253.48,1217.21,3559.30,36.27,3595.57,74.7
multiwoz_MUL1320_turn7,multiwoz,en,MUL1320,7,907,extra_long,66.17,4324.09,1287.59,1307.40,3036.51,-19.81,3016.70,69.8
multiwoz_MUL0874_turn6,multiwoz,en,MUL0874,6,866,extra_long,66.50,4182.51,1224.15,1189.06,2958.36,35.09,2993.45,71.6
multiwoz_MUL1203_turn5,multiwoz,en,MUL1203,5,906,extra_long,66.71,4133.53,1033.88,1038.69,3099.65,-4.82,3094.84,74.9
multiwoz_PMUL2175_turn8,multiwoz,en,PMUL2175,8,909,extra_long,66.97,4164.24,1054.36,1018.13,3109.88,36.22,3146.11,75.6
multiwoz_PMUL4254_turn6,multiwoz,en,PMUL4254,6,865,extra_long,67.34,3891.43,860.90,798.03,3030.53,62.87,3093.40,79.5
multiwoz_MUL0193_turn5,multiwoz,en,MUL0193,5,910,extra_long,67.44,3831.61,1006.33,1027.89,2825.28,-21.56,2803.72,73.2
multiwoz_PMUL2296_turn5,multiwoz,en,PMUL2296,5,938,extra_long,67.57,4116.74,2149.93,2027.04,1966.81,122.89,2089.70,50.8
multiwoz_MUL0023_turn6,multiwoz,en,MUL0023,6,862,extra_long,68.06,4073.28,1473.97,1439.31,2599.31,34.66,2633.97,64.7
multiwoz_MUL0789_turn6,multiwoz,en,MUL0789,6,940,extra_long,68.46,3971.29,950.88,939.38,3020.41,11.50,3031.91,76.3
multiwoz_PMUL2936_turn6,multiwoz,en,PMUL2936,6,857,extra_long,68.87,3534.64,659.09,624.84,2875.56,34.25,2909.81,82.3
multiwoz_MUL2174_turn8,multiwoz,en,MUL2174,8,865,extra_long,69.17,4162.03,1463.77,1460.54,2698.26,3.23,2701.49,64.9
multiwoz_PMUL2319_turn5,multiwoz,en,PMUL2319,5,915,extra_long,69.42,4297.66,975.98,887.41,3321.68,88.57,3410.25,79.4
multiwoz_PMUL2034_turn6,multiwoz,en,PMUL2034,6,1045,extra_long,69.65,4328.77,1160.61,1154.25,3168.16,6.36,3174.52,73.3
